00b0	CRFS_LOAD
00b1	CRFS_LOAD_HI
00b2	CRFS_LOAD_VHI
00b3	CRFS_LOAD_XHI
00b4	CRFS_EXEC
00b5	CRFS_EXEC_HI
00b6	CRFS_NEXT_BLK
00b7	CRFS_NEXT_BLK_HI
00b8	CRFS_ERR_PTR
00b9	CRFS_ERR_PTR_HI
00ba	CRFS_BLOCK_FLAG
00bb	CRFS_OPTS
00bc	CRFS_BLK_OFFSET
00bd	CRFS_BLK_LAST
00be	CRFS_CRC_TMP
00bf	CRFS_CRC_TMP_HI
00c0	CRFS_BUFFER_FLAG
00c1	CRFS_CRC_RESULT
00c2	CRFS_PROGRESS
00c3	CFS_HANDLE
00c4	CRFS_TMP
00c6	CFS_BAUD_RATE
00c7	CFS_INTERBLOCK
00c8	CRFS_OSFILE_PTR
00c9	CRFS_OSFILE_PTR_HI
00ca	CFS_SERIAL_CTRL
00cb	CRFS_CRC_BIT_CNT
00cc	CRFS_FILE_SIZE
00cd	CRFS_FILE_SIZE_HI
00d0	VDU_STATUS
00d1	VDU_G_PIX_MASK
00d2	VDU_T_OR_MASK
00d3	VDU_T_EOR_MASK
00d4	VDU_G_OR_MASK
00d5	VDU_G_EOR_MASK
00d6	VDU_G_MEM
00d7	VDU_G_MEM_HI
00d8	VDU_TOP_SCAN
00d9	VDU_TOP_SCAN_HI
00da	VDU_TMP1
00db	VDU_TMP2
00dc	VDU_TMP3
00dd	VDU_TMP4
00de	VDU_TMP5
00df	VDU_TMP6
00e0	VDU_ROW_MULT
00e1	VDU_ROW_MULT_HI
00e2	CRFS_STATUS
00e3	CRFS_OPTIONS
00e4	OSBYTE_PAR_3
00e5	OSBYTE_PAR_2
00e6	MOS_WS
00e7	AUTO_REPEAT_TIMER
00e8	OSW_0_PTR
00e9	OSW_0_PTR_HI
00ea	RS423_TIMEOUT
00eb	CRFS_ACTIVE
00ec	KEYNUM_FIRST
00ed	KEYNUM_LAST
00ef	OSW_A
00f0	OSW_X
00f1	OSW_Y
00f2	TEXT_PTR
00f3	TEXT_PTR_HI
00f4	ROM_SELECT
00f5	RFS_SELECT
00f6	ROM_PTR
00f7	ROM_PTR_HI
00fa	MOS_WS_0
00fb	MOS_WS_1
00fc	IRQ_COPY_A
00fd	ERR_MSG_PTR
00fe	ERR_MSG_PTR_HI
00ff	ESCAPE_FLAG
0100	STACK
0200	VEC_USERV
0202	VEC_BRKV
0204	VEC_IRQ1V
0206	VEC_IRQ2V
0208	VEC_OSCLI
020a	VEC_OSBYTE
020c	VEC_OSWORD
020e	VEC_OSWRCH
0210	VEC_OSRDCH
0212	VEC_OSFILE
0214	VEC_OSARGS
0216	VEC_OSBGET
0218	VEC_OSBPUT
021a	VEC_OSGBPB
021c	VEC_OSFIND
021e	VEC_FSCV
0220	VEC_EVNTV
0222	VEC_UPTV
0224	VEC_NETV
0226	VEC_VDUV
0228	VEC_KEYV
022a	VEC_INSV
022c	VEC_REMV
022e	VEC_CNPV
0230	VEC_IND1V
0232	VEC_IND2V
0234	VEC_IND3V
0236	OSB_BASE
0238	OSB_EXT_VEC
023a	OSB_ROM_TABLE
023c	OSB_KEY_TABLE
023e	OSB_VDU_TABLE
0240	OSB_CFS_TIMEOUT
0241	OSB_IN_STREAM
0242	OSB_KEY_SEM
0243	OSB_OSHWM_DEF
0244	OSB_OSHWM_CUR
0245	OSB_RS423_MODE
0246	OSB_CHAR_EXPL
0247	OSB_CFSRFC_SW
0248	OSB_VIDPROC_CTL
0249	OSB_VIDPROC_PAL
024a	OSB_LAST_ROM
024b	OSB_BASIC_ROM
024c	OSB_ADC_CHAN
024d	OSB_ADC_MAX
024e	OSB_ADC_ACC
024f	OSB_RS423_USE
0250	OSB_RS423_CTL
0251	OSB_FLASH_TIME
0252	OSB_FLASH_SPC
0253	OSB_FLASH_MARK
0254	OSB_KEY_DELAY
0255	OSB_KEY_REPEAT
0256	OSB_EXEC_HND
0257	OSB_SPOOL_HND
0258	OSB_ESC_BRK
0259	OSB_KEY_DISABLE
025a	OSB_KEY_STATUS
025b	OSB_SER_BUF_EX
025c	OSB_SER_BUF_SUP
025d	OSB_SER_CAS_FLG
025e	OSB_ECONET_INT
025f	OSB_OSRDCH_INT
0260	OSB_OSWRCH_INT
0261	OSB_SPEECH_OFF
0262	OSB_SOUND_OFF
0263	OSB_BELL_CHAN
0264	OSB_BELL_ENV
0265	OSB_BELL_FREQ
0266	OSB_BELL_LEN
0267	OSB_BOOT_DISP
0268	OSB_SOFT_KEYLEN
0269	OSB_HALT_LINES
026a	OSB_VDU_QSIZE
026b	OSB_TAB
026c	OSB_ESCAPE
026d	OSB_CHAR_C0
026e	OSB_CHAR_D0
026f	OSB_CHAR_E0
0270	OSB_CHAR_F0
0271	OSB_CHAR_80
0272	OSB_CHAR_90
0273	OSB_CHAR_a0
0274	OSB_CHAR_b0
0275	OSB_ESC_ACTION
0276	OSB_ESC_EFFECTS
0277	OSB_UVIA_IRQ_M
0278	OSB_ACIA_IRQ_M
0279	OSB_SVIA_IRQ_M
027a	OSB_TUBE_FOUND
027b	OSB_SPCH_FOUND
027c	OSB_OUT_STREAM
027d	OSB_CURSOR_STAT
027e	OSB_KEYPAD_BASE
027f	OSB_SHADOW_RAM
0280	OSB_COUNTRY
0281	OSB_USER_FLAG
0282	OSB_SERPROC
0283	OSB_TIME_SWITCH
0284	OSB_SOFTKEY_FLG
0285	OSB_PRINT_DEST
0286	OSB_PRINT_IGN
0287	OSB_BRK_INT_JMP
0288	OSB_BRK_INT_LO
0289	OSB_BRK_INT_HI
028a	OSB_FA_UNUSED
028b	OSB_FB_UNUSED
028c	OSB_CUR_LANG
028d	OSB_LAST_BREAK
028e	OSB_RAM_PAGES
028f	OSB_STARTUP_OPT
0290	VDU_ADJUST
0291	VDU_INTERLACE
0292	TIME_VAL1_MSB
0296	TIME_VAL1_LSB
0297	TIME_VAL2_MSB
029b	TIME_VAL2_LSB
029c	COUNTER_MSB
029f	COUNTER_LSB
02a1	ROM_TABLE
02b1	INKEY_TIMER
02b2	INKEY_TIMER_HI
02b3	OSW0_MAX_LINE
02b4	OSW0_MIN_CHAR
02b5	OSW0_MAX_CHAR
02b6	ADC_CHAN1_LO
02b7	ADC_CHAN2_LO
02b8	ADC_CHAN3_LO
02b9	ADC_CHAN4_LO
02ba	ADC_CHAN1_HI
02bb	ADC_CHAN2_HI
02bc	ADC_CHAN3_HI
02bd	ADC_CHAN4_HI
02be	ADC_CHAN_FLAG
02bf	EVENT_ENABLE
02c9	SOFTKEY_EX_PTR
02ca	KEY_REPEAT_CNT
02cb	KEY_ROLLOVER_1
02cd	KEY_ROLLOVER_2
02ce	SOUND_SEMAPHORE
02cf	BUFFER_0_BUSY
02d0	BUFFER_1_BUSY
02d1	BUFFER_2_BUSY
02d2	BUFFER_3_BUSY
02d3	BUFFER_4_BUSY
02d4	BUFFER_5_BUSY
02d5	BUFFER_6_BUSY
02d6	BUFFER_7_BUSY
02d7	BUFFER_8_BUSY
02d8	BUFFER_0_OUT
02d9	BUFFER_1_OUT
02da	BUFFER_2_OUT
02db	BUFFER_3_OUT
02dc	BUFFER_4_OUT
02dd	BUFFER_5_OUT
02de	BUFFER_6_OUT
02df	BUFFER_7_OUT
02e0	BUFFER_8_OUT
02e1	BUFFER_0_IN
02e2	BUFFER_1_IN
02e3	BUFFER_2_IN
02e4	BUFFER_3_IN
02e5	BUFFER_4_IN
02e6	BUFFER_5_IN
02e7	BUFFER_6_IN
02e8	BUFFER_7_IN
02e9	BUFFER_8_IN
02ea	CFS_BLOCK_SZ
02eb	CFS_BLOCK_SZ_HI
02ec	CFS_BLOCK_FLAG
02ed	CFS_LAST_INPUT
02ee	OSFILE_CB
02ef	OSFILE_CB_1
02f0	OSFILE_CB_2
02f1	OSFILE_CB_3
02f2	OSFILE_CB_4
02f3	OSFILE_CB_5
02f4	OSFILE_CB_6
02f5	OSFILE_CB_7
02f6	OSFILE_CB_8
02f7	OSFILE_CB_9
02f8	OSFILE_CB_10
02f9	OSFILE_CB_11
02fa	OSFILE_CB_12
02fb	OSFILE_CB_13
02fc	OSFILE_CB_14
02fd	OSFILE_CB_15
02fe	OSFILE_CB_16
02ff	OSFILE_CB_17
0300	VDU_G_WIN_L
0301	VDU_G_WIN_L_HI
0302	VDU_G_WIN_B
0303	VDU_G_WIN_B_HI
0304	VDU_G_WIN_R
0305	VDU_G_WIN_R_HI
0306	VDU_G_WIN_T
0307	VDU_G_WIN_T_HI
0308	VDU_T_WIN_L
0309	VDU_T_WIN_B
030a	VDU_T_WIN_R
030b	VDU_T_WIN_T
030c	VDU_G_ORG_XX
030d	VDU_G_ORG_XX_HI
030e	VDU_G_ORG_YX
030f	VDU_G_ORG_YX_HI
0310	VDU_G_CUR_XX
0311	VDU_G_CUR_XX_HI
0312	VDU_G_CUR_YX
0313	VDU_G_CUR_YX_HI
0318	VDU_T_CURS_X
0319	VDU_T_CURS_Y
031a	VDU_G_CURS_SCAN
031b	VDU_QUEUE
031c	VDU_QUEUE_1
031d	VDU_QUEUE_2
031e	VDU_QUEUE_3
031f	VDU_QUEUE_4
0320	VDU_QUEUE_5
0321	VDU_QUEUE_6
0322	VDU_QUEUE_7
0323	VDU_QUEUE_8
0324	VDU_G_CURS_H
0325	VDU_G_CURS_H_HI
0326	VDU_G_CURS_V
0327	VDU_G_CURS_V_HI
0328	VDU_BITMAP_READ
0329	VDU_BITMAP_RD_1
032a	VDU_BITMAP_RD_2
032b	VDU_BITMAP_RD_3
032c	VDU_BITMAP_RD_4
032d	VDU_BITMAP_RD_5
